# t (s)	mx	my	mz	B_extx (T)	B_exty (T)	B_extz (T)
0.0	2.832178935818774e-17	-5.565617411384948e-17	0.0009600277796983599	0.0	0.0	0.0
0.0	0.09516157550339684	-1.6600054664195342e-16	0.0009605920666741832	0.005	0.0	0.0
0.0	0.1850875009239672	1.0230864766480607e-15	0.0009624197348866094	0.01	0.0	0.0
0.0	0.2671376070764435	-8.031746982772869e-13	0.000964855281053568	0.015	0.0	0.0
0.0	0.33978861601718247	-1.0559383673003353e-11	0.0009691266905695393	0.02	0.0	0.0
0.0	0.40319921738474157	-1.8164628502737034e-12	0.000975539765927775	0.025	0.0	0.0
0.0	0.4585491385759102	-6.561227396117975e-12	0.0009829313963307428	0.03	0.0	0.0
0.0	0.5063290037378667	-8.169056042728328e-13	0.000992231561776716	0.035	0.0	0.0
0.0	0.5475681555181214	-1.2130047799541189e-12	0.0010041831368426343	0.04	0.0	0.0
0.0	0.5835716026970237	-1.2205335353510095e-14	0.0010187641734024015	0.045	0.0	0.0
0.0	0.6149557093052082	-6.543521280377718e-14	0.0010392701274157335	0.05	0.0	0.0
0.0	0.6437612899248288	1.5963554950149117e-12	0.001070324861820017	0.055	0.0	0.0
0.0	0.7735927290204492	1.45136208259955e-13	2.300850482361838e-18	0.06	0.0	0.0
0.0	0.7743176478235849	8.081332859843915e-14	5.415633219651994e-18	0.065	0.0	0.0
0.0	0.7749850201893423	4.297368259853496e-14	6.986598799496591e-19	0.07	0.0	0.0
0.0	0.7756008273411927	1.8117031486131198e-14	5.695964533369846e-19	0.075	0.0	0.0
0.0	0.7761701149123236	7.547567085208761e-15	1.9321350075429676e-18	0.08	0.0	0.0
0.0	0.7766974123457844	3.0651970545081396e-15	4.540638698369292e-19	0.085	0.0	0.0
0.0	0.7771865921104665	1.0004524986229057e-15	2.2749163663959846e-18	0.09	0.0	0.0
0.0	0.7776410988106423	3.2498240210010463e-16	2.4789198471708573e-19	0.095	0.0	0.0
0.0	0.7780639850321565	8.95755691843192e-17	-2.435551760271437e-19	0.1	0.0	0.0
0.0	0.7784579572631467	2.0618576290765133e-17	6.189493362285248e-19	0.105	0.0	0.0
0.0	0.7788254656497979	3.722022690055837e-18	2.989795910846027e-19	0.11	0.0	0.0
0.0	0.7791686565528874	-5.115873003003202e-18	7.698702786385069e-19	0.115	0.0	0.0
0.0	0.7794894860169257	-6.807401864428186e-18	8.646729166006395e-19	0.12	0.0	0.0
0.0	0.7797897423182226	-8.505869619757078e-18	9.0353072246252e-19	0.125	0.0	0.0
0.0	0.7800710121327273	-5.3903062569027326e-18	2.1130666660873487e-18	0.13	0.0	0.0
0.0	0.7803347420606418	-1.8611848173755163e-18	3.285566263500073e-19	0.135	0.0	0.0
0.0	0.7805822523593873	-2.5483087862099298e-18	1.033895191682177e-19	0.14	0.0	0.0
0.0	0.7808147601292116	-2.4764912343044898e-18	1.7789589246142157e-19	0.145	0.0	0.0
0.0	0.7810333615967395	5.8893862009412605e-19	-1.9229409731202907e-19	0.15	0.0	0.0
0.0	0.7810333622231538	-3.7313901968261123e-19	1.8145207558717402e-19	0.15	0.0	0.0
0.0	0.7808147807811778	8.89913143176102e-19	9.697104230710351e-20	0.145	0.0	0.0
0.0	0.7805822689601434	2.0419430035722997e-18	-1.5274240205975787e-19	0.14	0.0	0.0
0.0	0.7803347563383175	2.191129222506305e-18	1.9359513991901168e-19	0.135	0.0	0.0
0.0	0.7800710381804177	-7.332676132953964e-19	8.014422459012849e-19	0.13	0.0	0.0
0.0	0.779789751966279	-1.84071508035899e-18	1.8214596497756476e-20	0.125	0.0	0.0
0.0	0.7794895058681399	-1.6930901125533637e-18	-1.5265566588595903e-20	0.12	0.0	0.0
0.0	0.7791686756669812	-1.470698562933137e-18	1.2087553180606391e-18	0.115	0.0	0.0
0.0	0.7788254734817398	-2.0920765120280293e-19	-4.889318117040631e-19	0.11	0.0	0.0
0.0	0.7784579739018722	-6.19157503045642e-18	-1.3071141391485242e-19	0.105	0.0	0.0
0.0	0.7780640070556645	-7.843031779586341e-18	-2.527492104498208e-19	0.1	0.0	0.0
0.0	0.7776410995313117	-1.247058012410207e-17	-2.3412695393520977e-18	0.095	0.0	0.0
0.0	0.7771866044123753	-1.6037865480100778e-17	8.637188186888523e-19	0.09	0.0	0.0
0.0	0.7766974328396543	-1.7800344531693214e-17	2.7651492207070303e-19	0.085	0.0	0.0
0.0	0.7761701345335912	-1.5435222544546434e-17	1.0908808578680152e-18	0.08	0.0	0.0
0.0	0.7756008509933469	-1.7537707397430324e-17	-1.0217521273503394e-19	0.075	0.0	0.0
0.0	0.774985052007643	-2.949550326203365e-17	4.0523140398818214e-19	0.07	0.0	0.0
0.0	0.7743176745048665	-4.0363198894333154e-17	-6.864300794440226e-19	0.065	0.0	0.0
0.0	0.7735927354875268	-5.309606920800292e-17	7.846154281843098e-19	0.06	0.0	0.0
