# t (s)	mx	my	mz	skyrmionx (m)	skyrmiony (m)	skyrmionz (m)	Q
0.0	2.473862347997515e-19	2.1679965938981125e-18	0.9926666692350464	2.842170943040401e-23	-3.941526959705029e-23	0.0	-0.9374155961797198
0.0	2.473862347997515e-19	2.1679965938981125e-18	0.9926666692350464	2.842170943040401e-23	-3.941526959705029e-23	0.0	-0.9374155961797198
2.0e-11	7.51328595936302e-5	-1.6067458687966035e-5	0.9926671474968933	-3.559070116324847e-9	4.10577614537746e-10	0.0	-0.937409267697128
4.0e-11	8.17512241038584e-5	-3.012496330055983e-5	0.9926673851432501	-7.115664414366023e-9	8.280328661900538e-10	0.0	-0.9374068475365115
6.0e-11	8.15770830158224e-5	-3.262235368317986e-5	0.9926674213487242	-1.0671522286508093e-8	1.2458694520797575e-9	0.0	-0.9374067357053991
8.0e-11	8.141074584896775e-5	-3.2938718015156746e-5	0.9926673882999248	-1.4227222831475758e-8	1.663668225837579e-9	0.0	-0.9374074362166928
9.999999999999999e-11	8.138053700210631e-5	-3.2969506264711335e-5	0.9926673419479274	-1.7782918018696735e-8	2.0814523001711122e-9	0.0	-0.9374078078193038
1.2e-10	8.137992931522493e-5	-3.297296894823038e-5	0.9926673441087767	-2.1338642268481183e-8	2.4992422877494535e-9	0.0	-0.937407356212667
1.4e-10	8.137748282899891e-5	-3.299121911004197e-5	0.9926674166385137	-2.489434669302722e-8	2.9170297197587857e-9	0.0	-0.9374066298279028
1.6000000000000002e-10	8.136987573110039e-5	-3.302194620551916e-5	0.9926674923393654	-2.8449980281431835e-8	3.334795311694487e-9	0.0	-0.9374064456564039
1.8000000000000002e-10	8.136560906869122e-5	-3.304260938759867e-5	0.992667503902613	-3.200556580953952e-8	3.7525386489750595e-9	0.0	-0.9374067358559709
2.0000000000000003e-10	8.13689555595094e-5	-3.3046345891400965e-5	0.9926674842109554	-3.5561165389195016e-8	4.170280115759699e-9	0.0	-0.9374067122832258
2.2000000000000004e-10	8.137203415758637e-5	-3.3052878580700543e-5	0.9926675193454398	-3.911678801457015e-8	4.588031261917831e-9	0.0	-0.9374060635302994
2.4000000000000005e-10	8.136643906069646e-5	-3.307775046983856e-5	0.9926676207084428	-4.267237648075906e-8	5.0057765176420305e-9	0.0	-0.937405362986524
2.6000000000000003e-10	8.135707573317498e-5	-3.3107897613568956e-5	0.9926677074650878	-4.6227892457006225e-8	5.423495201190488e-9	0.0	-0.9374051653487957
2.8e-10	8.135537673604887e-5	-3.312202176743349e-5	0.9926677268592219	-4.978337304083914e-8	5.841192810780151e-9	0.0	-0.9374052152659101
3.0e-10	8.13611798324716e-5	-3.312390238289275e-5	0.9926677331328834	-5.3338875233933694e-8	6.258894044868065e-9	0.0	-0.937404890507642
3.2e-10	8.13620416024138e-5	-3.313644524651132e-5	0.9926678069825228	-5.6894391328820634e-8	6.6766058076171415e-9	0.0	-0.9374041165212367
3.3999999999999996e-10	8.135255073208468e-5	-3.316582332257258e-5	0.9926679350732022	-6.04498605132246e-8	7.094305443101938e-9	0.0	-0.937403408504868
3.5999999999999995e-10	8.134359649391143e-5	-3.319206613419788e-5	0.9926680296393972	-6.400525900342312e-8	7.511974054863712e-9	0.0	-0.9374030941654584
3.7999999999999993e-10	8.134576240874191e-5	-3.320043040521462e-5	0.9926680594621982	-6.75606349215291e-8	7.929625755567838e-9	0.0	-0.9374028886430475
3.999999999999999e-10	8.135225343455687e-5	-3.320419033074341e-5	0.9926680966731005	-7.111603663792235e-8	8.347287331531668e-9	0.0	-0.9374023527528631
4.199999999999999e-10	8.13489091018345e-5	-3.322351379430188e-5	0.992668209291276	-7.467144103842301e-8	8.764957262099563e-9	0.0	-0.9374014937528348
4.399999999999999e-10	8.13366020497386e-5	-3.3254129023893387e-5	0.9926683595605877	-7.822678775116152e-8	9.182606752009288e-9	0.0	-0.9374007023306743
4.5999999999999986e-10	8.133047267023459e-5	-3.3274635446669324e-5	0.992668460227251	-8.178206842064709e-8	9.600223091199265e-9	0.0	-0.9374002061116106
4.799999999999999e-10	8.133626366661474e-5	-3.32799610831693e-5	0.9926685048647987	-8.533733878403543e-8	1.0017829751232256e-8	0.0	-0.9373997935346536
4.999999999999999e-10	8.134085105987515e-5	-3.328858768850718e-5	0.9926685775548508	-8.889263590296776e-8	1.0435451203767687e-8	0.0	-0.9373991173259224
5.2e-10	8.133256807529224e-5	-3.331326771476596e-5	0.9926687274169623	-9.244792308075307e-8	1.0853074968737563e-8	0.0	-0.9373981415498324
5.4e-10	8.131979641453854e-5	-3.3341819766521685e-5	0.9926688952616793	-9.600314398517186e-8	1.1270669744342123e-8	0.0	-0.9373971844398136
5.6e-10	8.131808697066547e-5	-3.3356939737674854e-5	0.9926690020756576	-9.955830587231609e-8	1.1688233110952004e-8	0.0	-0.9373965083842721
5.800000000000001e-10	8.132567797012065e-5	-3.336277107510837e-5	0.9926690669831564	-1.0311346863704614e-7	1.2105795760780183e-8	0.0	-0.9373959613632123
6.000000000000001e-10	8.132603275456268e-5	-3.337737614674647e-5	0.9926691786092141	-1.0666865569887025e-7	1.2523374689745615e-8	0.0	-0.9373951451964673
6.200000000000001e-10	8.131377282435227e-5	-3.340452009037609e-5	0.992669362811999	-1.1022381808078968e-7	1.2940946622737356e-8	0.0	-0.9373939315611304
6.400000000000002e-10	8.130322263841152e-5	-3.342905837180159e-5	0.9926695442954476	-1.1377890319980234e-7	1.3358483135195431e-8	0.0	-0.9373925848758283
6.600000000000002e-10	8.13059372061777e-5	-3.344109029377314e-5	0.9926696592088571	-1.1733391820296718e-7	1.377599408070027e-8	0.0	-0.937390945335676
6.800000000000002e-10	8.131258975523079e-5	-3.345032900480377e-5	0.9926697502651213	-1.2088885688705666e-7	1.4193512540308142e-8	0.0	-0.9373863079328034
7.000000000000003e-10	8.130765938419037e-5	-3.34698760463266e-5	0.9926699027822538	-1.2444343362339736e-7	1.4611043650641408e-8	0.0	-0.9373656229099532
7.200000000000003e-10	8.129375457954773e-5	-3.34964952832354e-5	0.9926701175311432	-1.2799627607170896e-7	1.5028554918255754e-8	0.0	-0.9372635332573274
7.400000000000003e-10	8.128731530207527e-5	-3.3517172282123996e-5	0.9926703100213935	-1.3154141265241772e-7	1.5446019928699785e-8	0.0	-0.9367256141829867
7.600000000000004e-10	8.129279238673794e-5	-3.352925982640442e-5	0.9926704366909381	-1.350529252604077e-7	1.5863443020717916e-8	0.0	-0.9337847694880036
7.800000000000004e-10	8.129596722924194e-5	-3.354302652531394e-5	0.9926705594876752	-1.384397046822846e-7	1.6280869012964865e-8	0.0	-0.9188202073704546
8.000000000000004e-10	8.128644028764225e-5	-3.356504775639985e-5	0.9926707532671314	-1.4164576831517085e-7	1.6698608688976474e-8	0.0	-0.8722015266725797
8.200000000000005e-10	8.127363655734741e-5	-3.358944212186486e-5	0.9926709945631963	-1.4525022919350837e-7	1.7116156582680608e-8	0.0	-0.8341106856722658
8.400000000000005e-10	8.127160048529246e-5	-3.3608283222629825e-5	0.9926711971197104	1.5075724658068688e-7	1.7532991486351816e-8	0.0	-0.8319739929712501
