# Domain-wall depinning — <my> vs applied field along y (soft/hard interface)
# B[T]	my_total	my_soft	my_hard
1.4000	-0.05619	0.87541	-0.98780
1.4050	-0.05583	0.87595	-0.98761
1.4100	-0.05546	0.87650	-0.98741
1.4150	-0.05508	0.87705	-0.98721
1.4200	-0.05470	0.87760	-0.98700
1.4250	-0.05431	0.87816	-0.98679
1.4300	-0.05392	0.87873	-0.98657
1.4350	-0.05352	0.87930	-0.98635
1.4400	-0.05312	0.87988	-0.98612
1.4450	-0.05271	0.88046	-0.98588
1.4500	-0.05229	0.88105	-0.98563
1.4550	-0.05186	0.88165	-0.98537
1.4600	-0.05143	0.88225	-0.98510
1.4650	-0.05098	0.88287	-0.98483
1.4700	-0.05053	0.88349	-0.98454
1.4750	-0.05006	0.88412	-0.98424
1.4800	-0.04958	0.88477	-0.98393
1.4850	-0.04909	0.88542	-0.98361
1.4900	-0.04859	0.88609	-0.98327
1.4950	-0.04807	0.88678	-0.98292
1.5000	-0.04754	0.88748	-0.98255
1.5050	-0.04698	0.88820	-0.98216
1.5100	-0.04641	0.88893	-0.98175
1.5150	-0.04581	0.88969	-0.98131
1.5200	-0.04519	0.89048	-0.98085
1.5250	-0.04453	0.89129	-0.98036
1.5300	-0.04384	0.89214	-0.97983
1.5350	-0.04311	0.89303	-0.97926
1.5400	-0.04233	0.89397	-0.97863
1.5450	-0.04149	0.89497	-0.97795
1.5500	-0.04057	0.89604	-0.97718
1.5550	-0.03955	0.89722	-0.97631
1.5600	-0.03838	0.89854	-0.97529
1.5650	-0.03698	0.90009	-0.97404
1.5700	-0.03513	0.90207	-0.97234
1.5750	1.00000	1.00000	1.00000
1.5800	1.00000	1.00000	1.00000
1.5850	1.00000	1.00000	1.00000
1.5900	1.00000	1.00000	1.00000
1.5950	1.00000	1.00000	1.00000
1.6000	1.00000	1.00000	1.00000
1.6050	1.00000	1.00000	1.00000
1.6100	1.00000	1.00000	1.00000
1.6150	1.00000	1.00000	1.00000
1.6200	1.00000	1.00000	1.00000
1.6250	1.00000	1.00000	1.00000
1.6300	1.00000	1.00000	1.00000
1.6350	1.00000	1.00000	1.00000
1.6400	1.00000	1.00000	1.00000
1.6450	1.00000	1.00000	1.00000
1.6500	1.00000	1.00000	1.00000
1.6550	1.00000	1.00000	1.00000
1.6600	1.00000	1.00000	1.00000
1.6650	1.00000	1.00000	1.00000
1.6700	1.00000	1.00000	1.00000
1.6750	1.00000	1.00000	1.00000
1.6800	1.00000	1.00000	1.00000
1.6850	1.00000	1.00000	1.00000
1.6900	1.00000	1.00000	1.00000
1.6950	1.00000	1.00000	1.00000
1.7000	1.00000	1.00000	1.00000
1.7050	1.00000	1.00000	1.00000
1.7100	1.00000	1.00000	1.00000
1.7150	1.00000	1.00000	1.00000
1.7200	1.00000	1.00000	1.00000
1.7250	1.00000	1.00000	1.00000
1.7300	1.00000	1.00000	1.00000
1.7350	1.00000	1.00000	1.00000
1.7400	1.00000	1.00000	1.00000
1.7450	1.00000	1.00000	1.00000
1.7500	1.00000	1.00000	1.00000
1.7550	1.00000	1.00000	1.00000
1.7600	1.00000	1.00000	1.00000
1.7650	1.00000	1.00000	1.00000
1.7700	1.00000	1.00000	1.00000
1.7750	1.00000	1.00000	1.00000
1.7800	1.00000	1.00000	1.00000
1.7850	1.00000	1.00000	1.00000
1.7900	1.00000	1.00000	1.00000
1.7950	1.00000	1.00000	1.00000
1.8000	1.00000	1.00000	1.00000
