# Bulk-DMI spin spiral — relaxed m(x). seeded L=5.4454272662223077e-8 m, measured L=5.5018868042053216e-8 m
# x[nm]	mx	my	mz
-53.0	-0.00000	0.99324	0.11609
-51.0	-0.00000	0.93969	0.34202
-49.0	-0.00000	0.83549	0.54951
-47.0	-0.00000	0.68624	0.72737
-45.0	-0.00000	0.50000	0.86603
-43.0	-0.00000	0.28680	0.95799
-41.0	-0.00000	0.05814	0.99831
-39.0	-0.00000	-0.17365	0.98481
-37.0	-0.00000	-0.39608	0.91822
-35.0	-0.00000	-0.59716	0.80212
-33.0	-0.00000	-0.76604	0.64279
-31.0	-0.00000	-0.89363	0.44880
-29.0	-0.00000	-0.97304	0.23062
-27.0	-0.00000	-1.00000	-0.00000
-25.0	-0.00000	-0.97304	-0.23062
-23.0	-0.00000	-0.89363	-0.44880
-21.0	-0.00000	-0.76604	-0.64279
-19.0	-0.00000	-0.59716	-0.80212
-17.0	-0.00000	-0.39608	-0.91822
-15.0	-0.00000	-0.17365	-0.98481
-13.0	-0.00000	0.05814	-0.99831
-11.0	-0.00000	0.28680	-0.95799
-9.0	-0.00000	0.50000	-0.86603
-7.0	-0.00000	0.68624	-0.72737
-5.0	-0.00000	0.83549	-0.54951
-3.0	-0.00000	0.93969	-0.34202
-1.0	-0.00000	0.99324	-0.11609
1.0	-0.00000	0.99324	0.11609
3.0	-0.00000	0.93969	0.34202
5.0	-0.00000	0.83549	0.54951
7.0	-0.00000	0.68624	0.72737
9.0	-0.00000	0.50000	0.86603
11.0	-0.00000	0.28680	0.95799
13.0	-0.00000	0.05814	0.99831
15.0	-0.00000	-0.17365	0.98481
17.0	-0.00000	-0.39608	0.91822
19.0	-0.00000	-0.59716	0.80212
21.0	-0.00000	-0.76604	0.64279
23.0	-0.00000	-0.89363	0.44880
25.0	-0.00000	-0.97304	0.23062
27.0	-0.00000	-1.00000	0.00000
29.0	-0.00000	-0.97304	-0.23062
31.0	-0.00000	-0.89363	-0.44880
33.0	-0.00000	-0.76604	-0.64279
35.0	-0.00000	-0.59716	-0.80212
37.0	-0.00000	-0.39608	-0.91822
39.0	-0.00000	-0.17365	-0.98481
41.0	-0.00000	0.05814	-0.99831
43.0	-0.00000	0.28680	-0.95799
45.0	-0.00000	0.50000	-0.86603
47.0	-0.00000	0.68624	-0.72737
49.0	-0.00000	0.83549	-0.54951
51.0	-0.00000	0.93969	-0.34202
53.0	-0.00000	0.99324	-0.11609
