# muMAG Standard Problem 4 — JuliaMag
# t[s]	mx	my	mz
0.000000e+00	0.966818	0.125561	0.000000
2.500000e-12	0.966632	0.126203	-0.003173
5.000000e-12	0.966108	0.128002	-0.006317
7.500000e-12	0.965241	0.130944	-0.009429
1.000000e-11	0.964022	0.135010	-0.012506
1.250000e-11	0.962436	0.140178	-0.015544
1.500000e-11	0.960466	0.146423	-0.018539
1.750000e-11	0.958090	0.153717	-0.021487
2.000000e-11	0.955284	0.162026	-0.024383
2.250000e-11	0.952023	0.171316	-0.027224
2.500000e-11	0.948277	0.181545	-0.030003
2.750000e-11	0.944020	0.192672	-0.032717
3.000000e-11	0.939223	0.204650	-0.035361
3.250000e-11	0.933858	0.217428	-0.037930
3.500000e-11	0.927900	0.230955	-0.040420
3.750000e-11	0.921322	0.245176	-0.042828
4.000000e-11	0.914104	0.260033	-0.045149
4.250000e-11	0.906225	0.275468	-0.047382
4.500000e-11	0.897668	0.291422	-0.049524
4.750000e-11	0.888418	0.307836	-0.051577
5.000000e-11	0.878464	0.324649	-0.053540
5.250000e-11	0.867797	0.341802	-0.055416
5.500000e-11	0.856410	0.359239	-0.057207
5.750000e-11	0.844298	0.376902	-0.058919
6.000000e-11	0.831457	0.394736	-0.060555
6.250000e-11	0.817885	0.412690	-0.062124
6.500000e-11	0.803579	0.430711	-0.063633
6.750000e-11	0.788537	0.448752	-0.065090
7.000000e-11	0.772758	0.466764	-0.066505
7.250000e-11	0.756239	0.484703	-0.067889
7.500000e-11	0.738975	0.502523	-0.069253
7.750000e-11	0.720960	0.520182	-0.070608
8.000000e-11	0.702186	0.537638	-0.071967
8.250000e-11	0.682642	0.554847	-0.073343
8.500000e-11	0.662314	0.571765	-0.074750
8.750000e-11	0.641186	0.588349	-0.076200
9.000000e-11	0.619239	0.604550	-0.077710
9.250000e-11	0.596448	0.620320	-0.079294
9.500000e-11	0.572788	0.635604	-0.080966
9.750000e-11	0.548232	0.650342	-0.082742
1.000000e-10	0.522747	0.664471	-0.084638
1.025000e-10	0.496303	0.677917	-0.086666
1.050000e-10	0.468867	0.690602	-0.088842
1.075000e-10	0.440408	0.702435	-0.091177
1.100000e-10	0.410898	0.713319	-0.093680
1.125000e-10	0.380314	0.723146	-0.096360
1.150000e-10	0.348639	0.731800	-0.099218
1.175000e-10	0.315869	0.739155	-0.102252
1.200000e-10	0.282011	0.745084	-0.105456
1.225000e-10	0.247087	0.749454	-0.108815
1.250000e-10	0.211136	0.752137	-0.112311
1.275000e-10	0.174215	0.753009	-0.115917
1.300000e-10	0.136396	0.751960	-0.119604
1.325000e-10	0.097769	0.748894	-0.123339
1.350000e-10	0.058432	0.743734	-0.127086
1.375000e-10	0.018497	0.736423	-0.130811
1.400000e-10	-0.021922	0.726925	-0.134480
1.425000e-10	-0.062709	0.715225	-0.138063
1.450000e-10	-0.103746	0.701323	-0.141533
1.475000e-10	-0.144917	0.685233	-0.144867
1.500000e-10	-0.186107	0.666980	-0.148045
1.525000e-10	-0.227199	0.646596	-0.151054
1.550000e-10	-0.268075	0.624115	-0.153878
1.575000e-10	-0.308608	0.599578	-0.156508
1.600000e-10	-0.348662	0.573025	-0.158933
1.625000e-10	-0.388092	0.544502	-0.161140
1.650000e-10	-0.426738	0.514063	-0.163115
1.675000e-10	-0.464438	0.481772	-0.164841
1.700000e-10	-0.501024	0.447710	-0.166296
1.725000e-10	-0.536341	0.411975	-0.167455
1.750000e-10	-0.570252	0.374679	-0.168293
1.775000e-10	-0.602645	0.335942	-0.168783
1.800000e-10	-0.633436	0.295886	-0.168900
1.825000e-10	-0.662564	0.254624	-0.168621
1.850000e-10	-0.689984	0.212262	-0.167921
1.875000e-10	-0.715649	0.168894	-0.166776
1.900000e-10	-0.739505	0.124615	-0.165159
1.925000e-10	-0.761477	0.079529	-0.163040
1.950000e-10	-0.781467	0.033761	-0.160384
1.975000e-10	-0.799351	-0.012529	-0.157156
2.000000e-10	-0.814984	-0.059139	-0.153317
2.025000e-10	-0.828205	-0.105812	-0.148829
2.050000e-10	-0.838840	-0.152235	-0.143652
2.075000e-10	-0.846713	-0.198030	-0.137750
2.100000e-10	-0.851652	-0.242747	-0.131087
2.125000e-10	-0.853503	-0.285856	-0.123636
2.150000e-10	-0.852164	-0.326735	-0.115381
2.175000e-10	-0.847618	-0.364676	-0.106338
2.200000e-10	-0.839994	-0.398919	-0.096569
2.225000e-10	-0.829598	-0.428716	-0.086196
2.250000e-10	-0.816920	-0.453425	-0.075396
2.275000e-10	-0.802585	-0.472601	-0.064384
2.300000e-10	-0.787273	-0.486038	-0.053380
2.325000e-10	-0.771628	-0.493760	-0.042579
2.350000e-10	-0.756198	-0.495977	-0.032135
2.375000e-10	-0.741411	-0.493026	-0.022157
