# t (s)	mx ()	my ()	mz ()
0	0.96696687	0.12527837	0
1.0346266687353131e-11	0.9639828	0.13537845	-0.012918966
2.013994643780102e-11	0.955295	0.16224137	-0.024525113
3.0230830333415066e-11	0.93896824	0.20552638	-0.035577223
4.051094057541501e-11	0.91280615	0.262891	-0.045584783
5.06494964340305e-11	0.87606066	0.3288529	-0.054006983
6.066922323480868e-11	0.8282294	0.39934778	-0.06095019
7.061456303013761e-11	0.7691311	0.47103816	-0.06681214
8.04971133325824e-11	0.6987558	0.5409796	-0.07219428
9.03301821228233e-11	0.61670583	0.60660493	-0.077855766
1.0020611845119487e-10	0.5210757	0.6656116	-0.0847215
1.1005966025704957e-10	0.4107034	0.71365905	-0.09364305
1.2043324419115819e-10	0.27659592	0.7461897	-0.105915695
1.3010371252474132e-10	0.13535279	0.7522758	-0.119660676
1.4049846298772022e-10	-0.02960585	0.7253293	-0.13515577
1.500126471106889e-10	-0.18608293	0.6674943	-0.14808346
1.6014034315192366e-10	-0.3509029	0.5720019	-0.15916234
1.7034090612771723e-10	-0.50616276	0.44322515	-0.16663928
1.8067502984461418e-10	-0.64188457	0.2847766	-0.16907743
1.9035299880846972e-10	-0.74319476	0.117778376	-0.1651068
2.000393067562045e-10	-0.81559765	-0.06085953	-0.15342264
2.1042416735963555e-10	-0.85227966	-0.251605	-0.12995191
2.200971468520108e-10	-0.83930403	-0.40169865	-0.09613529
2.3040597899035432e-10	-0.7840483	-0.48889494	-0.05147943
2.400254979786181e-10	-0.7266613	-0.48591113	-0.012460987
2.5035769870351515e-10	-0.68290424	-0.4131929	0.020416845
2.6003250488373017e-10	-0.6617434	-0.30967918	0.042298738
2.704183228875762e-10	-0.6558188	-0.19419351	0.05628965
2.8010067620403676e-10	-0.66264075	-0.10737276	0.06265176
2.90406569813371e-10	-0.6873672	-0.045042165	0.06649948
3.0001434897487183e-10	-0.74179673	-0.009462981	0.069605194
3.1034772695340854e-10	-0.83155596	0.0255391	0.073364064
3.2000324405972396e-10	-0.91215706	0.08732466	0.07664893
3.3035090736646385e-10	-0.93161917	0.18734005	0.07378143
3.405547844163725e-10	-0.86090404	0.26276672	0.06268562
3.506476571008812e-10	-0.7665564	0.29094473	0.04869871
3.6009889621561275e-10	-0.7034879	0.30054152	0.03567533
3.7029924872643594e-10	-0.6771544	0.31648785	0.021608915
3.8052839507373763e-10	-0.6872925	0.34821627	0.0060907532
3.9007767399793313e-10	-0.72238165	0.38570184	-0.010410346
4.0032855454184955e-10	-0.7796149	0.40796182	-0.030449752
4.1057331703485194e-10	-0.8420223	0.38398874	-0.051560078
4.2010449447912415e-10	-0.89031446	0.31561965	-0.06898963
4.3039348198726176e-10	-0.91743076	0.20451489	-0.08151464
4.4004410190448893e-10	-0.9152629	0.084440425	-0.08454828
4.5031546379347427e-10	-0.8934805	-0.033930156	-0.07677571
4.605995387091458e-10	-0.86872244	-0.13043733	-0.059731543
4.702412555129233e-10	-0.85340714	-0.20178436	-0.037751302
4.805592999955995e-10	-0.856349	-0.25287026	-0.009908566
4.901259176746672e-10	-0.88148755	-0.2654455	0.018748045
5.003694049238694e-10	-0.9205336	-0.2239587	0.048566032
5.106534169102488e-10	-0.94480056	-0.12657034	0.070698574
5.202930242696335e-10	-0.9406661	-0.009372517	0.08160412
5.306372286399184e-10	-0.9164753	0.120882556	0.08295298
5.403064186690301e-10	-0.88356686	0.23610505	0.07545413
5.506729046982416e-10	-0.8487486	0.3428524	0.05860006
5.603403008893362e-10	-0.829079	0.41705355	0.035678267
5.70659737868152e-10	-0.8301941	0.45907813	0.0060980944
5.802689296949405e-10	-0.85203946	0.45582947	-0.02251295
5.905646359658146e-10	-0.886758	0.4022269	-0.04992517
6.001944436858921e-10	-0.91301566	0.3088814	-0.06859497
6.104798558751494e-10	-0.92252386	0.181988	-0.07692969
6.200116270942863e-10	-0.91544986	0.06228777	-0.0725964
6.302051813038113e-10	-0.9011109	-0.045059916	-0.056831088
